State,District Name,Received,Resolved,Order Type,Region,History of Slavery
KS,Shawnee Mission Public Schools U.S.D. #512,2008-03-31,2010-03-04,Voluntary,Midwest,Free State
WA,Snoqualmie Valley Sd No. 410,2013-05-14,2014-06-13,Voluntary,West,Territory
AZ,Snowflake Unified District,2004-08-23,2005-10-25,Voluntary,Southwest,Territory
MI,South Haven Public Schools,2010-11-12,2011-05-11,Voluntary,Midwest,Free State
NE,South Sioux City Community Schools,1997-03-04,1997-07-16,Voluntary,Midwest,Free State
MO,Southwest Baptist University,2008-10-24,2009-05-14,Voluntary,Midwest,Border State
MA,Springfield,2012-05-09,2013-02-14,Voluntary,Northeast,Free State
MA,Springfield,2007-06-26,2008-09-26,Voluntary,Northeast,Free State
MA,Springfield,2005-08-30,2006-02-24,Voluntary,Northeast,Free State
MA,Springfield,2007-01-22,2010-07-14,Voluntary,Northeast,Free State
VT,Springfield Sd,2011-04-14,2012-08-14,Voluntary,Northeast,Free State
CO,St Vrain Valley School District Re 1J,2010-07-13,2010-11-17,Voluntary,West,Territory
MN,St. Cloud Area School District 742,2010-03-23,2011-11-16,Voluntary,Midwest,Free State
MO,State Fair Community College,2008-08-20,2009-08-17,Voluntary,Midwest,Border State
CA,Stony Creek Joint Unified,2013-08-29,2014-04-08,Voluntary,West,Free State
OK,Stroud Public Schools,2013-05-06,2013-11-18,Voluntary,Southwest,Territory
WI,Sun Prairie Area,2011-05-18,2013-11-08,Voluntary,Midwest,Free State
OH,Sylvania City Sd,2004-06-14,2006-04-20,Voluntary,Midwest,Free State
NY,Syracuse City School District,2012-10-05,2013-05-13,Voluntary,Northeast,Free State
KS,Tabor College,2013-11-27,2014-05-23,Voluntary,Midwest,Free State
OK,Tahlequah Public Schools,2010-05-05,2010-10-28,Voluntary,Southwest,Territory
AL,Tallapoosa County Sch Dist,2011-05-06,2011-11-02,Voluntary,Southeast,Slave State
AL,Tallapoosa County Sch Dist,2011-03-29,2011-09-23,Voluntary,Southeast,Slave State
CA,Temecula Valley Unified,2011-12-23,2013-01-03,Voluntary,West,Free State
TX,Texas Higher Ed Desegregation,1997-02-04,2000-05-23,Voluntary,Southwest,Slave State
TN,The National College Of Business And Technology,2010-05-06,2013-05-30,Voluntary,Southeast,Slave State
OR,Tigard-Tualatin Sd 23J,2010-09-22,2014-02-28,Voluntary,West,Free State
OH,Toledo City School District,2011-12-12,2012-11-30,Voluntary,Midwest,Free State
AZ,Tolleson Union High School District,2011-12-19,2012-06-15,Voluntary,Southwest,Territory
KS,Topeka Public Schools U.S.D. #501,2012-04-17,2012-10-12,Voluntary,Midwest,Free State
MI,Traverse City Area Public Schools,2010-04-12,2012-05-31,Voluntary,Midwest,Free State
MO,Truman State University,2010-06-09,2012-05-09,Voluntary,Midwest,Border State
AZ,Tucson Unified District,2010-05-11,2011-02-22,Voluntary,Southwest,Territory
AZ,Tucson Unified District,2012-04-18,2013-04-22,Voluntary,Southwest,Territory
AZ,Tucson Unified District,1994-10-24,1996-05-31,Voluntary,Southwest,Territory
OK,Tulsa Public Schools,2009-12-14,2010-07-08,Voluntary,Southwest,Territory
OK,Tulsa Public Schools,2010-03-31,2013-02-04,Voluntary,Southwest,Territory
OK,Union Public Schools,2010-03-12,2010-09-07,Voluntary,Southwest,Territory
CA,University Of California-San Diego,2011-03-30,2012-04-16,Voluntary,West,Free State
NY,Vestal Central School District,2011-07-01,2012-05-21,Voluntary,Northeast,Free State
CT,Wallingford Board Of Education,2013-06-10,2013-12-23,Voluntary,Northeast,Free State
MO,Warrensburg R-Vi School District,2011-09-16,2012-03-14,Voluntary,Midwest,Border State
AZ,Washington Elementary School District,2011-02-04,2011-08-03,Voluntary,Southwest,Territory
OK,Wayne Public Schools,2013-03-28,2013-09-24,Voluntary,Southwest,Territory
PA,Waynesboro Area Sd,2011-06-16,2012-02-17,Voluntary,Northeast,Free State
VA,Waynesboro City Public Schools,2011-10-17,2012-03-15,Voluntary,Southeast,Slave State
TN,Weakley County School District,2013-01-22,2013-07-19,Voluntary,Southeast,Slave State
CA,West Contra Costa Unified,2010-07-06,2012-06-15,Voluntary,West,Free State
OH,West Geauga Local Sd,2012-04-30,2012-12-04,Voluntary,Midwest,Free State
NY,Westchester Community College,2011-09-28,2012-05-31,Voluntary,Northeast,Free State
NY,White Plains Public Schools,2011-02-14,2013-04-18,Voluntary,Northeast,Free State
PA,Wilkes-Barre Area Sd,2011-05-25,2012-03-30,Voluntary,Northeast,Free State
NC,Wilson County Schools,2010-04-05,2012-08-06,Voluntary,Southeast,Slave State
CT,Windham Board Of Education,2004-09-08,2006-08-18,Voluntary,Northeast,Free State
MA,Worcester,2012-08-22,2013-02-15,Voluntary,Northeast,Free State
AZ,Yuma School District 1,2013-05-20,2013-11-27,Voluntary,Southwest,Territory
