District Name,State,Year Lifted,Year Placed,Order Type,Region
Dougherty County,GA,STILL OPEN,1963,Involuntary,Southeast
Dublin City,GA,2013,Unknown year,Involuntary,Southeast
Durant Public School Dist,MS,STILL OPEN,1965,Involuntary,Southeast
Durham Public Schools,NC,1999,Unknown year,Involuntary,Southeast
Duval,FL,2001,Unknown year,Involuntary,Southeast
Dyersburg,TN,STILL OPEN,1966,Involuntary,Southeast
Earle School District,AR,2003,Unknown year,Involuntary,Southeast
Early County,GA,STILL OPEN,1969,Involuntary,Southeast
East Baton Rouge Parish,LA,2003,Unknown year,Involuntary,Southeast
East Carroll Parish,LA,2008,Unknown year,Involuntary,Southeast
East Feliciana Parish,LA,STILL OPEN,1965,Involuntary,Southeast
East Tallahatchie Consol Sch Dist,MS,2003,Unknown year,Involuntary,Southeast
Echols County,GA,2005,Unknown year,Involuntary,Southeast
Ector County Isd,TX,2010,Unknown year,Involuntary,Southwest
Edenton/Chowan Schools,NC,STILL OPEN,1968,Involuntary,Southeast
Edgecombe County Schools,NC,1979,Unknown year,Involuntary,Southeast
El Centro Elementary,CA,STILL OPEN,1955,Involuntary,West
El Dorado School District,AR,STILL OPEN,1965,Involuntary,Southeast
El Paso Isd,TX,STILL OPEN,1971,Involuntary,Southwest
Elba City,AL,2004,Unknown year,Involuntary,Southeast
Elbert County,GA,2009,Unknown year,Involuntary,Southeast
Elmore County,AL,2004,Unknown year,Involuntary,Southeast
Elysian Fields Isd,TX,STILL OPEN,1970,Involuntary,Southwest
Emanuel County,GA,STILL OPEN,1969,Involuntary,Southeast
Emmet*,ID,STILL OPEN,Unknown year,Involuntary,West
England School District,AR,STILL OPEN,1971,Involuntary,Southeast
Englewood City,NJ,STILL OPEN,1964,Involuntary,Northeast
Englewood On The Palisade Charter,NJ,STILL OPEN,Unknown year,Involuntary,Northeast
Enterprise City,AL,2003,Unknown year,Involuntary,Southeast
Enterprise School Dist,MS,2012,Unknown year,Involuntary,Southeast
Erie City Sd,PA,STILL OPEN,Unknown year,Involuntary,Northeast
Escambia,FL,2004,Unknown year,Involuntary,Southeast
Escambia County,AL,1977,Unknown year,Involuntary,Southeast
Etowah County,AL,2007,Unknown year,Involuntary,Southeast
Eufaula City,AL,2003,Unknown year,Involuntary,Southeast
Evangeline Parish,LA,2012,Unknown year,Involuntary,Southeast
Evansville Vanderburgh Sch Corp,IN,2005,Unknown year,Involuntary,Midwest
Fairfax Co Pblc Schs,VA,STILL OPEN,1964,Involuntary,Southeast
Fairfield 01,SC,2006,Unknown year,Involuntary,Southeast
Fairfield City,AL,STILL OPEN,1965,Involuntary,Southeast
Fairfield Isd,TX,STILL OPEN,1970,Involuntary,Southwest
Fayette County,AL,STILL OPEN,1963,Involuntary,Southeast
Fayette County,KY,STILL OPEN,1965,Involuntary,
Fayette County,TN,STILL OPEN,1972,Involuntary,Southeast
Ferguson-Florissant R-Ii,MO,1975,Unknown year,Involuntary,Midwest
Ferndale Public Schools,MI,1995,Unknown year,Involuntary,Midwest
Flagler,FL,STILL OPEN,1970,Involuntary,Southeast
Flint School District Of The City Of,MI,2002,Unknown year,Involuntary,Midwest
Florence 01,SC,STILL OPEN,1970,Involuntary,Southeast
Florence 04,SC,2005,Unknown year,Involuntary,Southeast
Florence City,AL,STILL OPEN,1963,Involuntary,Southeast
Forrest City School District,AR,STILL OPEN,1970,Involuntary,Southeast
Forrest County School District,MS,STILL OPEN,1965,Involuntary,Southeast
Forsyth County Schools,NC,1984,Unknown year,Involuntary,Southeast
Fort Osage R-I,MO,1984,Unknown year,Involuntary,Midwest
Fort Payne City,AL,STILL OPEN,1963,Involuntary,Southeast
Fort Smith School District,AR,2004,Unknown year,Involuntary,Southeast
Fort Wayne Community Schools,IN,STILL OPEN,1990,Involuntary,Midwest
Fort Worth Isd,TX,1990,Unknown year,Involuntary,Southwest
Franklin,TN,STILL OPEN,1971,Involuntary,Southeast
