District Name,City,State,Year Lifted,Year Placed
Franklin Co School Dist,Meadville,MS,STILL OPEN,1969
Franklin County,Russellville,AL,STILL OPEN,1963
Franklin County,Winchester,TN,STILL OPEN,1964
Franklin County Schools,Louisburg,NC,STILL OPEN,1966
Franklin Parish,Winnsboro,LA,2013,N/A
Franklin Township Com Sch Corp,Indianapolis,IN,1998,N/A
Fulton County,Atlanta,GA,2003,N/A
Gadsden,Quincy,FL,STILL OPEN,1970
Gadsden City,Gadsden,AL,2005,N/A
Galena Park Isd,Houston,TX,2007,N/A
Galveston Isd,Galveston,TX,2009,N/A
Garland Isd,Garland,TX,STILL OPEN,N/A
Geneva City,Geneva,AL,1974,N/A
Geneva County,Geneva,AL,2002,N/A
Georgetown 01,Georgetown,SC,STILL OPEN,1969
Georgetown Isd,Georgetown,TX,STILL OPEN,1964
Gibson Co Sp Dist,Dyer,TN,2008,N/A
Glascock County,Gibson,GA,STILL OPEN,1969
Glynn County,Brunswick,GA,STILL OPEN,1963
Goldsboro City*,,NC,1979,N/A
Goodrich Isd,Goodrich,TX,STILL OPEN,1970
Grady County,Cairo,GA,2007,N/A
Grandview C-4,Grandview,MO,2005,N/A
Grant Parish,Colfax,LA,2007,N/A
Grapeland Isd,Grapeland,TX,STILL OPEN,1976
Greene County,Eutaw,AL,2003,N/A
Greenfield-Central Com Schools,Greenfield,IN,1998,N/A
Greensville Co Pblc Schs,Emporia,VA,2002,N/A
Greenville 01,Greenville,SC,1985,N/A
Greenville Public Schools,Greenville,MS,1994,N/A
Greenwood Community Sch Corp,Greenwood,IN,1998,N/A
Greenwood Public School District,Greenwood,MS,STILL OPEN,1969
Gregory-Portland Isd,Portland,TX,1981,N/A
Grenada School Dist,Grenada,MS,1985,N/A
Guilford County Schools,Greensboro,NC,1972,N/A
Gulf,Port St Joe,FL,2009,N/A
Guntersville City,Guntersville,AL,2011,N/A
Hale County,Greensboro,AL,1982,N/A
Halifax Co Pblc Schs,Halifax,VA,1970,N/A
Halifax County Schools,Halifax,NC,STILL OPEN,1964
Hamilton County,Chattanooga,TN,1986,N/A
Hampton 01,Hampton,SC,2004,N/A
Hampton 02,Estill,SC,2005,N/A
Hancock County,Sparta,GA,2007,N/A
Hancock Place,St Louis,MO,1999,N/A
Hanover Co Pblc Schs,Ashland,VA,STILL OPEN,1966
Hardeman County,Bolivar,TN,STILL OPEN,1969
Harnett County Schools,Lillington,NC,STILL OPEN,1965
Harnett Early Childhood*,,NC,STILL OPEN,1965
Harris County,Hamilton,GA,2009,N/A
Harrison Co School Dist,Gulfport,MS,2003,N/A
Hart County,Hartwell,GA,2008,N/A
Hattiesburg Public School Dist,Hattiesburg,MS,1997,N/A
Haywood County,Brownsville,TN,STILL OPEN,1967
Hazelwood,Florissant,MO,STILL OPEN,1975
Hazen School District,Hazen,AR,2003,N/A
Hazlehurst City School District,Hazlehurst,MS,2005,N/A
Hearne Isd,Hearne,TX,2007,N/A
Helena/ W.Helena School Dist.,Helena,AR,2002,N/A
Henderson Isd,Henderson,TX,2010,N/A
Hendry,Labelle,FL,STILL OPEN,1970
Henrico Co Pblc Schs,Henrico,VA,1972,N/A
Henry County,Abbeville,AL,2006,N/A
Hermitage School District,Hermitage,AR,STILL OPEN,1969
Hickman Mills C-1,Kansas City,MO,2003,N/A
Hillsborough,Tampa,FL,2001,N/A
Hinds Co School Dist,Raymond,MS,1984,N/A
Hollandale School Dist,Hollandale,MS,STILL OPEN,1971
Holly Grove*,,NO,2003,N/A
Holly Springs School Dist,Holly Springs,MS,STILL OPEN,1969
Holmes Co School Dist,Lexington,MS,STILL OPEN,1965
Holyoke,Holyoke,MA,2004,N/A
Homewood City,Homewood,AL,STILL OPEN,1965
Hoover City,Hoover,AL,STILL OPEN,1966
Houston County,Dothan,AL,2008,N/A
Houston Isd,Houston,TX,1983,N/A
Humboldt,Humboldt,TN,2008,N/A
Humphreys Co School Dist,Belzoni,MS,2003,N/A
Huntsville City,Huntsville,AL,STILL OPEN,1966
Iberia Parish,New Iberia,LA,1970,N/A
Iberville Parish,Plaquemine,LA,2002,N/A
Independence 30,Independence,MO,2003,N/A
Indian River,Vero Beach,FL,STILL OPEN,N/A
Indian River School District,Selbyville,DE,STILL OPEN,1957
Indianapolis Public Schools,Indianapolis,IN,STILL OPEN,1972
Indianola School Dist,Indianola,MS,2008,N/A
